sequence,x,y,z,heading,roll,pitch
1517161710013387928,-291.45858662228926,-593.4334481408941,0,1.487017773077113,0,0
1517161710046574504,-291.43370647662607,-593.1372622011376,0,1.4869647337169654,0,0
1517161710081651736,-291.4073262227354,-592.82342475561,0,1.4869079697455558,0,0
1517161710113907577,-291.38299290224074,-592.5341289803862,0,1.486855136458867,0,0
1517161710146893151,-291.35803489886206,-592.237597236633,0,1.4868004810927185,0,0
1517161710180053710,-291.3328689440608,-591.9387918415289,0,1.4867448992583496,0,0
1517161710214335414,-291.3067725655226,-591.6291496592456,0,1.486686769737479,0,0
1517161710249085909,-291.2802368320639,-591.3145157287076,0,1.4866271542220046,0,0
1517161710279963345,-291.2565889640794,-591.0343125552142,0,1.4865736012784565,0,0
1517161710315700098,-291.229137793895,-590.709269465928,0,1.4865109393384914,0,0
1517161710349493873,-291.20309851221253,-590.401169451756,0,1.4864510141661549,0,0
1517161710380630650,-291.179037238183,-590.1166696438895,0,1.4863952257954973,0,0
1517161710414728248,-291.15261177175256,-589.8044341394993,0,1.4863335020289443,0,0
1517161710447947626,-291.1267903877799,-589.4995585086227,0,1.4862727360637877,0,0
1517161710481752761,-291.10043621362337,-589.188620018487,0,1.4862102601578422,0,0
1517161710515116243,-291.07434977569847,-588.8810683974452,0,1.4861479707657368,0,0
1517161710548390279,-291.0482575721094,-588.5736769970808,0,1.486085226983461,0,0
1517161710580404988,-291.0230815773878,-588.277296944872,0,1.4860242735998446,0,0
1517161710615854655,-290.99512284958496,-587.9484093695471,0,1.485956113493233,0,0
1517161710648597657,-290.96922278686617,-587.643976154268,0,1.4858925364882738,0,0
1517161710681267727,-290.94330768636524,-587.3395961060085,0,1.485828508039953,0,0
1517161710714446335,-290.9169149021828,-587.0298430950081,0,1.4857628779611862,0,0
1517161710747722708,-290.89036921076456,-586.7185385275944,0,1.4856964434457183,0,0
1517161710781951801,-290.8629850555686,-586.3976578098876,0,1.4856274697068534,0,0
1517161710814433253,-290.83692555268516,-586.0925421834359,0,1.4855614212222699,0,0
1517161710847981448,-290.8099351301955,-585.7767780920869,0,1.4854925950899585,0,0
1517161710880173830,-290.7839638187376,-585.4731790200813,0,1.4854259701433374,0,0
1517161710915111823,-290.7556981066259,-585.1430301774199,0,1.4853530208526013,0,0
1517161710947684704,-290.72927147317023,-584.8346189844331,0,1.4852844088045853,0,0
1517161711014737187,-290.6746456378648,-584.1979012297078,0,1.4851413462606957,0,0
1517161711046540973,-290.6486298780276,-583.8950389897308,0,1.485072634003609,0,0
1517161711080039661,-290.6211539450554,-583.5754436557684,0,1.4849996653284048,0,0
1517161711113209117,-290.593873579496,-583.2583940038204,0,1.4849268134667655,0,0
1517161711148202312,-290.5650130106377,-582.9232743396806,0,1.4848493092144752,0,0
1517161711180414343,-290.53837341648835,-582.6142140748484,0,1.4847773783496148,0,0
1517161711213511411,-290.510929274803,-582.2960920252111,0,1.4847028861617322,0,0
1517161711246774791,-290.4832731316458,-581.9757929838555,0,1.4846274227606144,0,0
1517161711280211652,-290.45539794924065,-581.6532430222478,0,1.4845509631860139,0,0
